"","Date","Location / Operator","Aircraft Type / Registration","Fatalities","year","month","day"
"3500","06 Apr 1981","Laguna Soliz, BoliviaUrcupina","Douglas C-47ACP-1470","7/7(0)","1981","Apr","06"
"3501","07 Apr 1981","Cincinnati, OhioFreedom International","Learjet 23N400PG","1/2(0)","1981","Apr","07"
"3502","17 Apr 1981","Loveland, ColoradoAir US / Private","Hadley Page 137Jetstream I / Cessna 206N11360 / N4862F","15/19(0)","1981","Apr","17"
"3503","28 Apr 1981","Pekanbaru, IndonesiaAirfast Indonesia","Douglas C-47A-5-DKPK-OBK","15/17(0)","1981","Apr","28"
"3504","28 Apr 1981","Batagay, RussiaAeroflot","Antonov An-2TP	 CCCP-92864","12/12(0)","1981","Apr","28"
"3505","06 May 1981","Near Fredrick, MarylandMilitary - U.S. Air Force","Boeing EC-135N61-0328","21/21(0)","1981","May","06"
"3506","07 May 1981","Rio de la Plata, ArgentinaAustral Lineas Aeras (Argentina)","BAC One-Eleven 529FRLV-LOX","31/31(0)","1981","May","07"
"3507","16 May 1981","Near Menongue, AngolaTAAG Angola Airlines","Lockheed L-100-20 HerculesD2-EAS","4/4(0)","1981","May","16"
"3508","21 May 1981","Pinarete Mountain, MexicoLineas Aereas","Convair CV-440-11XA-KEH","20/20(0)","1981","May","21"
"3509","22 May 1981","Near Zumba, EcuadorTAME","de Havilland Canada DHC-6 Twin Otter 300HC-BAX","18/18(0)","1981","May","22"
"3510","24 May 1981","Near Guachala, EcuadorMilitary - Ecuadorean Air Force","Beech Super King Air 200/DHC6-Twin OtterFAE-723/FAE-457","27/27(0)","1981","May","24"
"3511","28 May 1981","Avalon, CaliforniaShanair Inc. - Air Taxi","Beechcraft 58N140S","2/3(0)","1981","May","28"
"3512","29 May 1981","Cairo, EgyptMilitary - Egyptian Air Force","Lockheed C-130H HerculesSU-BAH","17/17(0)","1981","May","29"
"3513","13 Jun 1981","Hualien, TaiwanTaiwan Airlines","Britten-Norman BN-2A-8 IslanderB-11108","2/2(0)","1981","Jun","13"
"3514","14 Jun 1981","Ust-Barguzin, RussiaAeroflot","Ilyushin Il-14CCCP-41838","48/48(0)","1981","Jun","14"
"3515","17 Jun 1981","Miraflores, ColombiaTaxi Aéreo el Venado","Douglas DC-3HK-1078","2/12(0)","1981","Jun","17"
"3516","26 Jun 1981","Nailstone, EnglandDan Air Services","Hawker Siddeley HS-748G-ASPL","3/3(0)","1981","Jun","26"
"3517","30 Jun 1981","Muskegon, MichiganG & W Aviation","Cessna 401N7957F","5/5(0)","1981","Jun","30"
"3518","18 Jul 1981","Near Yerevan, ArmeniaTAR","Canadair CL-44D4-6LV-JTN","4/4(0)","1981","Jul","18"
"3519","20 Jul 1981","Mogadishu, SomaliaSomali Airlines","Fokker F-27 Friendship 600RF6O-SAY","50/50(0)","1981","Jul","20"
"3520","23 Jul 1981","Kansas City, KansasAir Taxi","Beechcraft 58TCN17705","4/4(0)","1981","Jul","23"
"3521","24 Jul 1981","MadagascarAir Madagascar","de Havilland Canada DHC-6 Twin Otter 3005R-MGB","19/19(0)","1981","Jul","24"
"3522","25 Jul 1981","Caruru, ColombiaTransamazonica","Douglas C-53D-DOHK- 772","4/9(0)","1981","Jul","25"
"3523","27 Jul 1981","Chihuahua, MexicoAeromexico","McDonnell Douglas DC-9-32XA-DEN","30/66(0)","1981","Jul","27"
"3524","11 Aug 1981","Skagway, AlaskaAir Taxi - Skagway Air Service","Piper PA-32N8224Q","6/6(0)","1981","Aug","11"
"3525","22 Aug 1981","Near Sanyi, Miao-li, TaiwanFar Eastern Air Transport","Boeing B-737-222B-2603","110/110(0)","1981","Aug","22"
"3526","24 Aug 1981","Near Zavitinsk, RussiaAeroflot / Military - Russian Air Force","Antonov AN-24RV / Soviet Air Force TU-16CCCP-46653","31/32(0)","1981","Aug","24"
"3527","27 Aug 1981","Mt. Elena, ColombiaAeropesca Colombia","Vickers Viscount 745DHK-1320","50/50(0)","1981","Aug","27"
"3528","29 Aug 1981","Zeya, RussiaAeroflot","Yakovlev YAK-40CCCP-87346","3/34(0)","1981","Aug","29"
"3529","02 Sep 1981","Paipa, ColombiaTaxi Aereo el Venado","Embraer 110P1 BandeiranteHK-2651","21/22(0)","1981","Sep","02"
"3530","18 Sep 1981","Zeleznogorsk, RussianAeroflot /Military - Russian","Yakovlev YAK-40 / Mil Mi-8CCCP-87455","40/40(0)","1981","Sep","18"
"3531","21 Sep 1981","Nellis AFB, NevadaMilitary - U.S. Air Force","Lockheed C-130H Hercules74-1672","7/68(0)","1981","Sep","21"
"3532","22 Sep 1981","Near Babaeski, TurkeyMilitary - Turkish Air Force","Northrop F-5A?","0/0(40)","1981","Sep","22"
"3533","29 Sep 1981","Tehran, IranMilitary - Iranian Air Force","Lockheed C-130H5-158-8552","60/60(20)","1981","Sep","29"
"3534","01 Oct 1981","Casper, WyomingSky Train Air","Learjet 24N44CJ","3/3(0)","1981","Oct","01"
"3535","06 Oct 1981","Moerdijk, NetherlandsNLM (Nederlandse Luchtvaart Maatschappij)","Fokker F-28 Fellowship 4000PH-CHI","17/17(0)","1981","Oct","06"
"3536","15 Oct 1981","Kufstein, AustriaOefag Flugdienst","Cessna 404 TitanOE-FCT","9/9(0)","1981","Oct","15"
"3537","26 Oct 1981","St. Thomas, U.S. Virgin IslandsAerolineas Argo","Lockheed L-749A ConstellationHI-328","5/5(0)","1981","Oct","26"
"3538","31 Oct 1981","Bafoussam, CameroonCameroon Airlines","de Havilland Canada DHC-6 Twin Otter 300TJ-CBC","1/24(0)","1981","Oct","31"
"3539","08 Nov 1981","Sierra de Guerro, MexicoAeromexico","McDonnell Douglas DC-9-32XA-DEO","18/18(0)","1981","Nov","08"
"3540","15 Nov 1981","Mount Pocono, PennsylvaniaAir Taxi - Moyer Aviation","Piper PA-32N178RB","4/4(0)","1981","Nov","15"
"3541","16 Nov 1981","Norilsk, RussiaAeroflot","Tupolev TU-154B-2CCCP-85480","99/167(0)","1981","Nov","16"
"3542","19 Nov 1981","Biratnagar, NepalRoyal Nepal Airlines","Pilatus PC-6/B2-H2 Turbo-Porter9N-ABJ","10/10(0)","1981","Nov","19"
"3543","30 Nov 1981","Castries, Saint Lucia IslandGuyana Airways","Douglas DC-6AN3486F","3/3(0)","1981","Nov","30"
