"","lon","lat","lon","lat"
"475",20.305774,44.8765011,18.3365271,43.8257957
"476",20.9678911,52.1672369,2.3522219,48.856614
"477",158.4253998,53.169366,150.9180141,59.621214
"478",123.9802214,10.3106556,121.016508,14.5122739
"479",31.1168871,-29.6099786,28.2411459,-26.1366728
"480",15.4464454,-4.3893521,18.6392792,3.6237931
"481",16.6933509,49.1522313,14.4441083,48.950604
"482",-84.1403352,9.9574495,NA,NA
"483",108.051159,57.770193,114.2012017,57.854032
"484",135.1689898,48.5242969,142.7238546,46.8869499
"485",-0.4171726,51.5540305,-4.4350529,55.8690744
"486",146.726111,-6.5697219,146.6401634,-7.2035795
"487",0.049518,51.5048437,-8.9146911,52.6996573
"488",14.2631811,50.101791,17.2105238,48.1702634
"489",0.049518,51.5048437,13.1671038,52.4887434
"490",12.2462384,41.7998868,0.049518,51.5048437
"491",-74.1444969,4.7014128,-74.1444969,4.7014128
"492",NA,NA,-46.6565842,-23.6273246
"493",-149.8419311,61.215917,-73.8739659,40.7769271
"494",-87.7521884,41.7867759,-80.2870509,25.7958723
"495",-95.8838659,36.198778,-118.40853,33.9415889
"496",NA,NA,NA,NA
"497",86.2002911,69.4041954,61.5741915,69.7623538
"498",4.4855744,50.900999,-0.4542955,51.4700223
"499",126.2724894,6.950245,NA,NA
"500",-71.6419315,10.6694118,-72.5081768,7.9271798
"501",11.2012247,43.8086534,12.5933595,41.8000198
"502",12.6507628,55.6180236,8.5621518,50.0379326
"503",107.5801958,-6.9038355,106.8477407,-6.1555671
"504",-73.8739659,40.7769271,-80.0928165,26.6857475
"505",88.4463299,22.6520429,72.8567534,19.0931403
"506",-25.1656641,36.9742197,-64.7020333,32.359829
"507",-122.2197428,37.7125689,-115.5723977,32.835205
"508",-80.2870509,25.7958723,-74.1744624,40.6895314
"509",123.496524,41.6352665,116.3877778,39.7825
"510",-80.2268386,36.137433,-77.0402315,38.851242
"511",-71.123156,18.2485334,-70.6019073,19.4021334
"512",-78.7879963,35.880079,-80.2786043,25.7819729
"513",-4.4350529,55.8690744,-0.4171726,51.5540305
"514",4.4855744,50.900999,2.437202,48.9614725
"515",NA,NA,28.2411459,-26.1366728
"516",61.503711,55.3044113,49.2984487,55.6085937
"517",2.437202,48.9614725,12.6507628,55.6180236
"518",-101.4805699,20.993517,-99.0719083,19.4360762
"519",4.7682744,52.3105386,5.7797001,53.220629
"520",67.1681027,24.9007815,72.8567534,19.0931403
"521",92.8932476,56.0152834,73.316533,54.957801
"522",-149.8419311,61.215917,-122.3018264,47.5281657
"523",-149.8419311,61.215917,-139.6686314,59.5099391
"524",20.305774,44.8765011,19.247673,42.3678579
"525",26.0876334,44.4994607,14.2631811,50.101791
"526",15.0657746,37.4673046,12.5933595,41.8000198
"527",-64.7020333,32.359829,-25.1656641,36.9742197
"528",28.8104425,40.9829888,23.9484156,37.9356467
