"","lon","lat"
"515",28.2411459,-26.1366728
"516",NA,NA
"517",12.6507628,55.6180236
"518",-101.6859605,21.1250077
"519",5.7999133,53.2012334
"520",67.123909,24.8032646
"521",92.4813965,56.1767877
"522",-122.3088165,47.4502499
"523",-139.7272808,59.5469878
"524",19.1877778,42.1030556
"525",15.3867079,50.5127115
"526",8.7931809,45.8593103
"527",-64.7020333,32.359829
"528",23.8166667,37.9463889
"529",-131.4855123,55.1209294
"530",-112.15467,37.701097
"531",-0.9965839,37.6256827
"532",-54.6103488,48.954408
"533",-73.8906091,40.5910174
"534",-64.7020333,32.359829
"535",15.9943948,68.4141543
"536",50.610016,26.2072482
"537",-41.1202199,-20.8467047
"538",14.6669456,68.245073
"539",-69.7688752,-33.3583896
"540",-0.4542955,51.4700223
"541",NA,NA
"542",3.398845,46.1654692
"543",-80.6081089,28.0836269
"544",10.7830826,3.6426789
"545",33.0745351,45.7795802
"546",40.44654,35.0160783
"547",108.429552,11.9392396
"548",-77.8597175,39.2889903
"549",-35.3656132,-5.7688863
"550",-76.0995268,39.6055541
"551",-18.7519095,66.1534796
"552",-73.8739659,40.7769271
"553",135.1689898,48.5242969
"554",-74.1744624,40.6895314
"555",-85.4494842,10.13998
"556",-123.1207375,49.2827291
"557",94.5207485,70.9777455
"558",31.6682347,9.5279875
"559",-17.4914579,14.7442078
"560",-66.9036063,10.4805937
"561",-73.1227416,7.119349
"562",-75.5877975,6.2192058
"563",5.576166,44.974535
"564",-73.6294961,4.1474389
"565",NA,NA
"566",-82.9000751,32.1656221
"567",-74.072092,4.7109886
"568",-4.9097818,40.2426072
"569",-9.1353667,38.7755936
"570",114.305539,30.592849
"571",12.6507628,55.6180236
"572",0.049518,51.5048437
"573",106.912251,29.4315861
"574",-79.8841984,-2.1480534
"575",-74.09996,6.51669
"576",-80.9239671,36.6612387
"577",120.5926679,18.1960128
"578",1.036849,51.135744
"579",-81.5135352,30.3364058
"580",-87.7521884,41.7867759
"581",-73.4445392,40.6106158
"582",120.382609,36.067108
"583",-73.6801297,41.4300937
"584",-69.097023,-3.6499007
"585",-86.6773713,36.126317
"586",-86.8950297,41.7075394
"587",-8.9146911,52.6996573
"588",121.4737021,31.2303904
"589",121.455295,31.166504
"590",121.808273,31.1443439
"591",2.3522219,48.856614
"592",-118.40853,33.9415889
"593",-117.1610838,32.715738
"594",-43.1728965,-22.9068467
"595",-76.1641197,39.5095556
"596",-76.1641197,39.5095556
"597",-0.4171726,51.5540305
"598",-84.9713512,10.4563619
"599",121.4925,14.0675
"600",-119.4179324,36.778261
"601",NA,NA
"602",59.6167549,36.2604623
"603",-58.5990473,-34.605503
"604",-84.0907246,9.9280694
"605",5.550796,46.671361
"606",4.7682744,52.3105386
"607",-97.2464071,19.5572354
"608",-118.8648189,34.8416435
"609",-81.6943605,41.49932
"610",-88.7451526,32.333547
"611",55.9720554,54.7387621
"612",14.2177414,50.1130625
"613",-149.8419311,61.215917
"614",-0.4648081,51.2194368
"615",37.2712341,55.599648
"616",37.2712341,55.599648
"617",1.418574,46.029218
"618",59.9651904,41.8368737
"619",35.782652,34.3863898
"620",-105.5911007,41.3113669
"621",-77.0469214,38.8048355
"622",-4.8353154,33.8305244
"623",-104.8102739,41.1529863
"624",14.4832795,35.8541135
"625",-58.5631155,48.5458759
"626",-43.1728965,-22.9068467
"627",-8.9146911,52.6996573
"628",102.264449,27.894504
"629",-54.6103488,48.954408
"630",4.4176727,50.8922905
"631",-165.4063889,64.5011111
"632",-16.6522851,13.3439094
"633",-80.0926014,22.4514564
"634",-115.7631232,40.8324211
"635",-0.4171726,51.5540305
"636",2.437202,48.9614725
"637",12.1821809,55.457526
"638",-16.5790323,13.4548761
"639",-90.5151342,41.5067003
"640",-6.1707299,53.1935037
"641",-74.3112574,40.014561
"642",-79.0594625,34.6112946
"643",10.7522454,59.9138688
"644",-78.984444,-2.889444
"645",117.2160034,36.8572006
"646",-87.6297982,41.8781136
"647",-99.1373136,19.4361609
"648",-8.8730677,52.7124708
"649",-72.2081338,41.7106543
"650",-103.6951543,20.775698
"651",-3.5675982,40.4983322
"652",10.6286999,59.8995185
"653",-77.3208112,37.5065795
"654",49.0660806,55.8304307
"655",-62.9255717,-0.973993
"656",-85.1660825,12.2153659
"657",-6.0334979,43.5623823
"658",109.1880047,35.3939908
"659",44.2870972,43.0451302
"660",-77.0402315,38.851242
"661",81.826172,-33.137551
"662",146.2230894,-42.1333911
"663",14.2631811,50.101791
"664",-1.9711511,50.6938
"665",-119.4179324,36.778261
"666",-63.1285338,46.2911784
"667",-69.3473509,10.0677719
"668",4.2220324,39.8654186
"669",-106.4140868,41.6893961
"670",59.5431804,41.9649659
"671",-72.9106202,41.5083668
"672",36.8163089,52.1541039
"673",-86.754126,33.5624269
"674",-61.339527,10.5976964
"675",16.5161694,65.3337311
"676",-77.0402315,38.851242
"677",12.149544,48.9620681
"678",13.444467,51.9433907
"679",-79.9558968,39.629526
"680",28.9348331,50.179686
"681",-81.2759341,36.8937298
"682",-51.404829,-19.1842064
"683",17.6618242,44.8678652
"684",-118.386029,34.182584
"685",-61.5019256,10.6549013
"686",-46.6565842,-23.6273246
"687",13.3833333,58.5833333
"688",9.205576,48.6876365
"689",-75.7284267,20.8325254
"690",-64.6822004,10.1040635
"691",88.7878678,30.1533605
"692",10.9347012,59.2205369
"693",17.9427217,59.354812
"694",20.4489216,44.786568
"695",36.868588,-17.855427
"696",23.8584737,38.5236036
"697",133.9022938,-23.8049031
"698",13.388594,52.4827106
"699",-89.9791729,35.0420679
"700",2.0959429,41.3120158
"701",20.3555646,44.8532094
"702",NA,NA
"703",-2.882275,56.380807
"704",147.1802671,-9.4438004
"705",-90.2590112,29.9922012
"706",25.159321,31.575001
"707",11.2166667,58.3333333
"708",-87.4669587,35.7789565
"709",NA,NA
"710",-119.4179324,36.778261
"711",-119.4179324,36.778261
"712",-10.1625046,52.2664124
"713",-84.2700179,37.8393332
"714",-60.0217314,-3.1190275
"715",-8.9146911,52.6996573
"716",-69.5172641,44.4786791
"717",87.616848,43.825592
"718",-8.4115401,43.3623436
"719",46.0313067,51.5581685
"720",147.1802671,-9.4438004
"721",18.0480105,34.5531284
"722",18.0480105,34.5531284
"723",10.579186,57.725004
"724",37.6172999,55.755826
"725",144.9014875,-37.7264098
"726",126.6983403,62.0981387
"727",NA,NA
"728",-9.1393366,38.7222524
"729",12.3470025,45.5047582
"730",-73.8631845,-15.7395127
"731",-123.2077831,39.1501709
"732",-77.042754,-12.0463731
"733",54.9252541,56.2674828
"734",-123.1207375,49.2827291
"735",16.5665751,48.1158333
"736",-112.0929961,40.2621714
"737",69.2400734,41.2994958
"738",-3.5675982,40.4983322
"739",18.0480105,34.5531284
"740",92.4813965,56.1767877
"741",-116.5452921,33.8302961
"742",19.891795,45.1941933
"743",31.5621184,30.4158383
"744",-55.3440853,49.1422983
"745",-48.4051419,-21.9178586
"746",2.5693337,36.5062122
"747",-16.9653756,14.4228422
"748",-61.339527,10.5976964
"749",3.0587561,36.753768
"750",NA,NA
"751",37.6172999,55.755826
"752",12.5045443,41.9525198
"753",59.5033087,57.6540663
"754",-105.8405582,46.4083362
"755",-111.9790706,40.7899404
"756",131.833333,-13.823056
"757",102.74595,24.994713
"758",122.2677778,-17.1458333
"759",-83.3553842,42.2161722
"760",108.902683,-7.6178096
"761",-119.4179324,36.778261
"762",153.008087,-27.5686496
"763",124.3310364,-9.8627946
"764",-115.1398296,36.1699412
"765",-119.4179324,36.778261
"766",NA,NA
"767",35.4050891,-23.8768188
"768",22.2666302,60.4518126
"769",-81.1826527,42.7777214
"770",-96.7678039,46.8737648
"771",22.9730454,41.3677872
"772",-66.1098152,18.4621221
"773",5.214414,43.4384235
"774",-46.6333094,-23.5505199
"775",32.5598994,15.5006544
"776",12.2862694,41.7311182
"777",26.1025384,44.4267674
"778",-80.38924,27.616405
"779",18.350464,-32.3134951
"780",-84.4293704,39.1038008
"781",10.9225991,63.4582698
"782",2.6501603,39.5696005
"783",-84.3538128,33.5215013
"784",-89.0223384,50.307656
"785",-90.1994042,38.6270025
"786",114.9042208,27.0874564
"787",25.3548713,13.6197501
"788",21.9189438,47.0465005
"789",-32.4268917,-3.8447976
"790",-87.7521884,41.7867759
"791",-43.1809269,-22.9511149
"792",14.0373888,51.2803993
"793",-58.1679367,-18.2096693
"794",-111.8721601,40.9180005
"795",13.388594,52.4827106
"796",119.398525,36.858819
"797",-4.4945093,36.6791135
"798",-0.4542955,51.4700223
"799",-77.636657,39.2726017
"800",22.7196142,46.2272022
"801",8.6199386,51.9761169
"802",25.0231509,59.6987575
"803",2.2948,50.73387
"804",2.6466964,50.6278431
"805",-102.8596463,37.3702934
"806",2.0832941,41.297445
"807",-79.9958864,40.4406248
"808",15.214917,38.7925148
"809",-95.1990662,18.5625204
"810",56.2538153,25.6365398
"811",16.166775,39.1172152
"812",123.6002623,25.8002868
"813",115.166787,-8.7467172
"814",-0.4542955,51.4700223
"815",18.0480105,34.5531284
"816",-5.3458333,36.1105556
"817",13.1991744,49.1216274
"818",-4.3199148,36.7703788
"819",151.1752764,-33.9399228
"820",9.7320104,52.3758916
"821",-119.4179324,36.778261
"822",6.383419,47.803479
"823",0.7330858,41.0408609
"824",96.1352618,16.9027736
"825",88.363895,22.572646
"826",130.4467091,33.5903145
"827",-9.1220962,30.7821237
"828",40.7323311,-15.0364493
"829",-97.600556,35.393056
"830",104.27874,26.85621
"831",7.051131,44.093048
"832",-66.1098152,18.4621221
"833",6.9602786,50.937531
"834",-73.6981858,40.8256561
"835",132.3775053,-14.5203415
"836",-42.623773,-22.7104698
"837",-105.8834368,46.4289004
"838",2.583212,49.205164
"839",-78.3613938,-0.1243405
"840",120.382609,36.067108
"841",127.310556,26.237974
"842",16.3738189,48.2081743
"843",-122.9912711,38.017769
"844",12.8788475,46.8723319
"845",4.7682744,52.3105386
